DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,LATITUDE,LONGITUD
19,3,2017,1,3,30,33.90377778,-87.13934444
20,3,2017,2,17,10,33.90839444,-85.74491111
20,3,2017,2,5,36,31.28728889,-85.46867222
20,3,2017,2,14,40,33.58986944,-86.12425278
21,3,2017,3,15,0,34.56471667,-85.61815278
21,3,2017,3,7,55,33.91244444,-86.32773611
21,3,2017,3,15,29,34.55061389,-85.52981944
22,3,2017,4,16,55,33.65026389,-85.78621111
22,3,2017,4,14,3,32.66035278,-85.42519722
23,3,2017,5,21,18,34.18450278,-86.14498889
23,3,2017,5,10,35,32.30207222,-87.79789722
23,3,2017,5,17,30,32.07203333,-87.57329444
25,3,2017,7,7,25,31.22288611,-86.507925
25,3,2017,7,3,19,31.4156,-85.88500833
26,3,2017,1,0,15,30.42881667,-88.178175
26,3,2017,1,17,41,33.79575,-86.27296667
27,3,2017,2,11,10,33.43925556,-86.84435
26,3,2017,1,4,44,33.63475833,-86.68413611
27,3,2017,2,0,8,33.49348889,-86.82908889
28,3,2017,3,11,25,33.38025556,-87.54704444
28,3,2017,3,11,48,33.66996944,-87.650525
29,3,2017,4,14,45,34.96671667,-86.56841667
29,3,2017,4,9,37,34.14135833,-85.58754444
30,3,2017,5,4,57,30.61109444,-88.07340556
31,3,2017,6,21,0,33.87871389,-87.16155
31,3,2017,6,17,25,34.86791667,-87.76986944
1,4,2017,7,23,55,33.46747222,-86.63811111
1,4,2017,7,19,40,33.13716389,-86.58704722
1,4,2017,7,18,45,31.22836944,-86.22728333
1,4,2017,7,21,20,33.42203056,-86.435475
2,4,2017,1,8,5,33.94381667,-87.44346667
3,4,2017,2,7,5,33.87815833,-87.63618056
3,4,2017,2,21,35,32.40650278,-87.04978056
3,4,2017,2,10,24,33.73361944,-86.28700556
9,4,2017,1,19,45,34.30521111,-86.28792222
6,4,2017,5,21,10,33.40462778,-86.94013611
6,4,2017,5,14,30,32.41274444,-87.00363889
18,2,2017,7,4,10,33.89441667,-87.80644444
19,2,2017,1,13,35,30.98969444,-87.85509444
19,2,2017,1,12,59,33.53969722,-86.75305556
21,2,2017,3,17,55,33.204475,-87.48911667
23,2,2017,5,8,20,34.68056667,-86.33077222
23,2,2017,5,16,23,31.53192222,-87.89638889
23,2,2017,5,16,20,34.06556111,-86.12332778
24,2,2017,6,8,25,31.00355,-85.57596667
25,2,2017,7,13,30,34.67029167,-87.57263889
25,2,2017,7,20,0,34.72720833,-87.51465
26,2,2017,1,13,30,34.67640833,-85.75178611
26,2,2017,1,1,55,33.79945556,-87.23698611
25,2,2017,7,23,11,32.13697778,-85.73637778
26,2,2017,1,2,55,33.81364722,-86.11053333
26,2,2017,1,9,49,34.43960833,-88.12685278
28,2,2017,3,15,40,31.48781389,-85.77380278
28,2,2017,3,21,21,32.44912222,-85.49103889
2,3,2017,5,18,20,30.56265556,-88.21346111
3,3,2017,6,13,30,34.27065,-86.08053889
3,3,2017,6,17,9,34.58030833,-87.68090556
3,3,2017,6,17,50,31.167425,-88.01203889
4,3,2017,7,15,15,34.0501,-86.16918889
5,3,2017,1,99,99,33.58889722,-86.12698889
14,4,2017,6,21,27,33.55040833,-86.77344167
18,4,2017,3,20,35,30.65630556,-87.92793333
29,4,2017,7,5,30,32.56994167,-88.24793889
29,4,2017,7,13,30,33.54700556,-86.74604444
29,4,2017,7,20,35,33.89013056,-87.45367222
4,5,2017,5,5,35,30.64065,-88.118675
4,5,2017,5,10,4,33.18944167,-87.53719167
5,5,2017,6,1,15,33.31948611,-87.65279444
7,5,2017,1,2,0,31.396775,-86.60263056
30,4,2017,1,14,40,33.56869167,-86.72179444
5,5,2017,6,8,40,34.31446389,-87.69614167
7,5,2017,1,13,10,31.50456667,-87.96161389
8,5,2017,2,7,22,30.62743056,-87.75314167
10,5,2017,4,6,55,33.53218056,-86.84500556
11,5,2017,5,0,4,33.37247222,-86.99223611
20,3,2017,2,3,20,32.80013611,-87.47906667
22,3,2017,4,7,50,34.55085,-86.44347222
28,3,2017,3,20,24,34.08775278,-86.94643056
1,4,2017,7,23,26,32.81825278,-87.88713889
2,4,2017,1,21,30,34.77128611,-86.61668611
2,4,2017,1,19,23,31.33780833,-85.78267222
6,4,2017,5,0,25,32.50685278,-85.15285278
7,4,2017,6,21,55,31.65649444,-85.96417778
10,4,2017,2,11,53,32.18938889,-86.56742778
7,4,2017,6,11,0,31.4217,-85.61282778
7,4,2017,6,14,18,33.63991111,-86.36909444
10,4,2017,2,15,39,34.65674167,-86.770525
11,4,2017,3,7,12,34.28004167,-86.6089
11,4,2017,3,19,25,33.28329444,-86.88433333
11,4,2017,3,5,15,33.79118056,-85.72128611
12,4,2017,4,20,47,34.23220833,-86.22523611
12,4,2017,4,8,25,32.63425278,-86.49908333
13,4,2017,5,17,55,34.05378889,-86.10653333
13,4,2017,5,4,15,34.91130556,-86.75809444
14,4,2017,6,19,35,33.955575,-87.33565833
14,4,2017,6,23,17,32.29958611,-85.18144722
14,4,2017,6,22,42,33.53316111,-86.85844167
14,4,2017,6,0,5,34.18260278,-88.08780833
14,4,2017,6,99,99,30.31403889,-88.13803889
14,4,2017,6,19,20,34.45755833,-86.57608333
14,4,2017,6,3,22,33.45254167,-86.92920556
14,4,2017,6,20,15,34.54343889,-87.6061
14,4,2017,6,20,7,33.65103056,-85.80156389
15,4,2017,7,1,45,32.47574444,-87.05196389
15,4,2017,7,14,57,32.47223611,-86.41872778
16,4,2017,1,18,0,34.54257778,-86.41285556
16,4,2017,1,3,59,34.79693889,-86.59245278
18,4,2017,3,18,40,30.58124444,-88.31021111
18,4,2017,3,10,35,33.76319444,-85.89135833
19,4,2017,4,11,5,34.26215278,-85.57218611
19,4,2017,4,15,58,34.21185833,-86.392925
20,4,2017,5,14,50,30.96368056,-88.30072222
26,2,2017,1,5,30,31.62656389,-86.799675
20,4,2017,5,11,30,34.37049444,-86.98679167
20,4,2017,5,17,30,33.06130278,-87.13651389
21,4,2017,6,17,35,33.07474167,-86.57164444
21,4,2017,6,5,35,33.58874722,-86.03918611
22,4,2017,7,23,50,31.83238056,-86.57194167
22,4,2017,7,22,2,32.43298611,-86.57866944
22,4,2017,7,8,20,30.4726,-88.33588611
23,4,2017,1,0,45,31.88141111,-86.60200556
23,4,2017,1,11,30,34.29448611,-85.98758333
24,4,2017,2,4,0,33.82461667,-87.47365278
24,4,2017,2,10,20,32.73759444,-86.49047778
24,4,2017,2,21,45,32.652325,-85.35559167
25,4,2017,3,12,5,33.92950833,-87.26346667
26,4,2017,4,13,12,34.6386,-85.71965278
27,4,2017,5,5,40,33.58404167,-86.77336944
29,4,2017,7,14,45,31.16649444,-87.04998056
28,4,2017,6,20,1,31.88640278,-85.14538889
28,4,2017,6,21,45,31.06980556,-87.5215
29,4,2017,7,21,30,32.99990278,-86.12184167
29,4,2017,7,22,10,30.6511,-88.10121111
29,4,2017,7,20,40,34.69915278,-87.78613056
2,5,2017,3,16,50,33.55263056,-86.73212222
2,5,2017,3,16,27,31.00269167,-87.22751944
2,5,2017,3,15,42,32.81905833,-86.04719167
3,5,2017,4,14,25,34.42418333,-85.93898333
27,4,2017,5,0,25,34.6106,-86.8984
11,5,2017,5,9,20,34.12178611,-85.98094444
22,5,2017,2,12,45,34.18399167,-85.95746389
26,5,2017,6,16,14,33.52781389,-86.657775
30,5,2017,3,9,5,33.10310278,-86.74943611
31,5,2017,4,16,7,32.44493056,-85.79244722
2,6,2017,6,2,45,32.67603333,-86.50951944
6,6,2017,3,8,15,33.58577778,-85.87688889
10,6,2017,7,3,0,33.52253889,-86.81143611
11,6,2017,1,3,55,33.54490833,-86.75980278
22,6,2017,5,21,5,33.99515278,-86.08885556
14,3,2017,3,15,33,31.75134722,-88.07086944
30,4,2017,1,0,1,32.62289444,-85.13284444
30,4,2017,1,19,59,33.24048611,-87.58115278
30,4,2017,1,22,30,34.84996389,-87.06735556
1,5,2017,2,13,35,34.03039444,-86.02741944
5,5,2017,6,18,30,32.73950833,-86.49196389
7,5,2017,1,23,21,32.59903333,-85.57721944
7,5,2017,1,18,1,34.12474444,-86.88800556
10,5,2017,4,18,40,30.72023056,-88.08543056
11,5,2017,5,19,25,31.21656111,-85.38954167
12,5,2017,6,13,40,30.95420833,-87.76137222
13,5,2017,7,18,10,33.46398889,-86.87357778
13,5,2017,7,22,32,32.33851944,-86.18470556
13,5,2017,7,16,50,33.515,-86.20433889
14,5,2017,1,9,30,34.10829444,-86.86530278
14,5,2017,1,21,47,30.27897222,-87.68671111
15,5,2017,2,11,30,33.11666111,-85.570825
15,5,2017,2,17,31,31.26768889,-85.37908333
17,5,2017,4,6,35,32.62792222,-85.80268611
18,5,2017,5,6,50,34.48411111,-87.82961667
18,5,2017,5,7,39,33.14271667,-87.543525
18,5,2017,5,9,10,34.01660556,-86.92634722
18,5,2017,5,13,0,34.15930556,-85.70889722
18,5,2017,5,21,43,34.66395833,-86.75226389
18,5,2017,5,23,45,34.42497778,-85.73424444
19,5,2017,6,13,55,34.98276944,-87.68709167
19,5,2017,6,15,16,33.61900833,-86.685125
20,5,2017,7,4,30,33.54580556,-86.8157
20,5,2017,7,21,40,31.65040278,-88.30651944
21,5,2017,1,18,10,33.83975833,-86.66494444
21,5,2017,1,10,8,33.73029167,-86.65328333
21,5,2017,1,21,20,33.18943611,-87.19883611
22,5,2017,2,12,55,32.24173056,-86.29547222
23,5,2017,3,3,20,33.69185,-86.38799167
23,5,2017,3,14,28,33.71333333,-87.26528611
23,5,2017,3,15,35,33.98127778,-86.61346944
23,5,2017,3,18,32,33.57068056,-86.78426944
23,5,2017,3,20,10,30.65396667,-88.23505278
24,5,2017,4,9,33,33.95524722,-86.58716667
24,5,2017,4,22,45,30.85659722,-88.27974444
24,5,2017,4,23,17,34.41599167,-86.26733056
24,5,2017,4,17,35,30.73473889,-88.13605
25,5,2017,5,2,15,32.15588056,-87.65258611
26,5,2017,6,1,0,33.23874444,-87.70993333
27,5,2017,7,5,55,31.48736111,-87.18212222
27,5,2017,7,16,12,34.01834444,-85.99306111
27,5,2017,7,5,47,34.240525,-86.17608056
27,5,2017,7,19,45,33.22407222,-87.50601111
29,5,2017,2,21,42,30.69246389,-88.07169167
30,5,2017,3,0,2,33.84593056,-87.25791111
30,5,2017,3,12,48,34.16073611,-85.71325
30,5,2017,3,16,32,32.88944167,-85.51655278
31,5,2017,4,4,45,32.55345278,-86.31787778
31,5,2017,4,13,37,33.18322222,-87.52592222
1,6,2017,5,0,3,34.49326111,-86.96558889
1,6,2017,5,17,15,31.87933611,-85.720475
1,6,2017,5,16,30,31.53608333,-87.28984167
3,6,2017,7,19,34,32.47316944,-85.01540278
3,6,2017,7,1,30,33.34753611,-86.99874444
4,6,2017,1,0,30,34.85799722,-87.53739167
4,6,2017,1,13,46,33.42556944,-86.63148611
5,6,2017,2,1,22,31.20693611,-85.352
6,6,2017,3,12,15,34.13361111,-85.495575
6,6,2017,3,18,45,33.13003889,-85.85998611
6,6,2017,3,19,5,31.53496389,-85.87261944
7,6,2017,4,22,50,32.45011667,-85.63247222
7,6,2017,4,7,16,30.86055556,-88.19601111
7,6,2017,4,14,40,30.50358056,-88.25395833
7,6,2017,4,7,38,32.57563056,-85.14718611
7,6,2017,4,16,49,33.51234722,-86.84730556
8,6,2017,5,14,41,34.27573611,-86.81128889
8,6,2017,5,15,40,34.155,-86.45910278
9,6,2017,6,9,4,33.51985,-86.91560278
9,6,2017,6,15,5,34.1712,-86.68741389
10,6,2017,7,20,0,31.14598611,-85.08872222
13,6,2017,3,15,50,33.43238056,-86.02758611
13,6,2017,3,20,11,32.57353056,-85.31436944
13,6,2017,3,23,34,33.16422778,-86.30220833
14,6,2017,4,21,20,32.41666111,-86.40967778
15,6,2017,5,15,10,34.47630556,-85.80605278
15,6,2017,5,23,40,34.99226667,-87.82911111
16,6,2017,6,20,25,32.83178889,-85.25345556
16,6,2017,6,16,53,34.65708889,-86.50698889
16,6,2017,6,21,30,33.23000278,-86.32615
16,6,2017,6,22,9,33.21224722,-87.57068333
17,6,2017,7,0,0,32.89689444,-87.70359722
17,6,2017,7,10,46,33.7743,-86.62894444
18,6,2017,1,1,20,32.65517778,-86.24823056
18,6,2017,1,7,20,34.652475,-87.88703333
18,6,2017,1,21,2,30.69277778,-88.12578333
18,6,2017,1,16,30,33.54326111,-86.72635278
18,6,2017,1,18,15,32.37291111,-87.157625
19,6,2017,2,0,30,34.86038056,-85.61003889
19,6,2017,2,0,0,31.65143889,-85.81115
19,6,2017,2,4,0,33.15702778,-86.88071389
20,6,2017,3,16,28,34.8468,-86.89411111
20,6,2017,3,18,0,33.21097778,-87.56427778
20,6,2017,3,23,20,32.50295278,-86.01711389
20,6,2017,3,23,27,31.19527222,-85.41061944
21,6,2017,4,0,45,33.32105,-87.65437222
22,6,2017,5,13,15,34.725975,-86.31885278
23,6,2017,6,4,10,34.98856389,-86.570225
24,6,2017,7,16,43,34.20678611,-87.59820278
25,6,2017,1,3,54,99.9999,999.9999
25,6,2017,1,2,33,33.99195,-86.03750278
9,1,2017,2,1,40,32.07141111,-86.48414722
19,2,2017,1,14,35,31.14212778,-87.41215
8,3,2017,4,16,10,32.44064444,-85.83424167
23,5,2017,3,4,35,32.91368889,-87.87202222
26,5,2017,6,4,50,31.00501111,-87.67865556
5,1,2017,5,20,55,30.53726944,-88.08409722
7,1,2017,7,14,5,32.77533333,-86.54534167
21,1,2017,7,23,35,34.82169722,-86.48529444
23,1,2017,2,18,15,34.18408333,-86.26909722
31,1,2017,3,12,0,31.33117778,-86.02133333
16,2,2017,5,14,25,31.76171944,-85.89551667
5,4,2017,4,12,5,34.81738056,-86.83253333
29,4,2017,7,20,45,32.93751944,-87.30017778
4,5,2017,5,11,5,33.72095556,-86.82502222
6,5,2017,7,4,15,30.60378889,-87.84539722
10,5,2017,4,18,28,31.97611389,-86.18313611
8,5,2017,2,16,39,32.10354722,-85.08052222
11,5,2017,5,14,50,32.31312222,-86.86512778
12,5,2017,6,23,5,34.66123333,-86.95029444
13,5,2017,7,17,10,34.88371667,-86.56849167
13,5,2017,7,9,20,34.03313889,-87.52460556
13,5,2017,7,23,4,31.77015,-85.15205833
14,5,2017,1,19,0,33.92469444,-86.53650278
14,5,2017,1,12,50,34.5838,-85.62912222
14,5,2017,1,7,50,31.90431944,-86.31641944
19,5,2017,6,14,10,32.60035,-86.46428056
21,5,2017,1,11,50,34.45429444,-86.83966944
28,6,2017,4,22,39,32.83722778,-86.64316944
28,6,2017,4,17,28,32.33513333,-85.15318889
28,6,2017,4,20,55,34.58213889,-87.00293056
28,6,2017,4,23,45,32.06371389,-86.73646389
29,6,2017,5,15,0,30.91413056,-88.03491389
29,6,2017,5,17,55,32.77648333,-87.75524167
30,6,2017,6,19,5,34.24484167,-86.11154444
1,7,2017,7,14,40,33.77736944,-86.42644722
4,7,2017,3,7,10,33.76735278,-86.46631111
13,7,2017,5,21,34,33.50863611,-86.81923611
14,7,2017,6,0,46,34.46641111,-86.89868333
14,7,2017,6,13,45,31.98080278,-86.53190833
15,7,2017,7,9,26,30.65852778,-87.88995278
17,7,2017,2,20,0,32.84476389,-86.59583056
20,7,2017,5,2,15,31.95650556,-86.54613611
21,7,2017,6,1,30,33.80401111,-86.82509444
22,7,2017,7,2,0,33.91544167,-87.511575
24,7,2017,2,13,40,31.60627222,-86.82025278
24,7,2017,2,20,26,33.52978056,-86.82596667
8,8,2017,3,22,45,32.72663056,-86.53624444
14,8,2017,2,1,8,33.7073,-87.14225278
9,8,2017,4,7,37,34.23259722,-86.25334167
9,8,2017,4,0,50,33.47540556,-86.92395833
10,8,2017,5,9,18,33.13345278,-87.49570278
10,8,2017,5,13,9,30.75113056,-88.22564444
11,8,2017,6,23,18,32.58748333,-85.90588611
11,8,2017,6,7,55,33.22634444,-86.52510278
12,8,2017,7,14,38,32.93453611,-85.39521667
12,8,2017,7,1,0,34.70165,-86.10745833
12,8,2017,7,15,14,33.33590833,-86.87816389
12,8,2017,7,22,40,34.84208056,-87.36619167
13,8,2017,1,18,33,34.79094444,-87.00706667
2,8,2017,4,2,20,31.44323889,-88.03884167
3,8,2017,5,4,5,33.81608056,-87.37836944
4,8,2017,6,11,5,31.15248056,-85.46682778
5,8,2017,7,1,30,34.96521667,-87.82958611
5,8,2017,7,2,40,32.05610833,-85.517725
5,8,2017,7,15,30,34.97145,-87.29668056
5,8,2017,7,17,25,31.97549167,-87.070975
5,8,2017,7,0,28,30.74171111,-88.12624444
6,8,2017,1,8,10,34.83956389,-86.97306667
6,8,2017,1,19,7,33.19470833,-87.47476944
6,8,2017,1,20,33,33.95955,-87.77466111
28,7,2017,6,18,24,33.53705833,-86.88800833
29,7,2017,7,14,43,32.45015278,-85.72621944
30,7,2017,1,2,4,33.20781389,-86.64952222
30,7,2017,1,4,38,33.64520833,-86.74377222
29,7,2017,7,23,40,30.63297222,-87.78024444
6,8,2017,1,18,15,31.11245556,-85.466925
7,8,2017,2,17,20,33.77119167,-85.97973889
27,7,2017,5,13,30,33.91303333,-87.79808889
30,7,2017,1,2,30,33.49102222,-86.01309722
30,7,2017,1,20,43,32.58181667,-85.11426111
30,7,2017,1,23,27,34.69446944,-86.71596111
31,7,2017,2,14,41,33.38457222,-86.73039444
31,7,2017,2,16,2,31.02222778,-88.23172778
2,8,2017,4,19,30,31.87563333,-85.44679444
1,7,2017,7,22,4,30.31791667,-87.72835
1,7,2017,7,23,5,34.86891389,-86.71507778
2,7,2017,1,20,1,31.216525,-85.43105278
2,7,2017,1,7,41,33.17035833,-87.48741944
2,7,2017,1,20,20,33.20560833,-86.30870556
2,7,2017,1,17,10,32.65498056,-85.45086111
3,7,2017,2,5,0,34.36035,-85.59815
4,7,2017,3,14,0,31.14295556,-86.70532222
5,7,2017,4,1,30,32.35189722,-86.29975278
6,7,2017,5,21,30,30.78728056,-88.20185833
6,7,2017,5,2,52,30.79982778,-88.25956389
7,7,2017,6,14,18,33.12946389,-86.75209444
7,7,2017,6,12,14,33.61485278,-85.80353056
8,7,2017,7,0,25,32.72704167,-86.48430278
8,7,2017,7,16,40,34.74365278,-86.63009167
9,7,2017,1,5,5,32.79803889,-85.18310278
9,7,2017,1,18,23,34.03168056,-86.027525
10,7,2017,2,16,43,33.94558333,-85.91579722
10,7,2017,2,22,35,34.48399167,-87.38098333
10,7,2017,2,14,10,31.61981111,-85.80078889
11,7,2017,3,22,55,33.4626,-86.88292778
11,7,2017,3,11,8,30.95746111,-88.07738056
13,7,2017,5,20,6,34.7908,-87.00103889
13,7,2017,5,17,20,33.950575,-87.03894167
18,7,2017,3,13,20,33.69586944,-85.52115
13,7,2017,5,18,40,31.56865278,-85.75278333
14,7,2017,6,22,10,33.14627778,-86.67423611
14,7,2017,6,16,46,34.16146667,-86.47522778
15,7,2017,7,15,40,31.23766111,-86.27039444
15,7,2017,7,20,35,34.85956389,-86.78681389
16,7,2017,1,16,40,31.99755,-86.46111944
17,7,2017,2,8,40,34.96482778,-87.88717222
18,7,2017,3,16,23,34.15918056,-87.28143611
20,7,2017,5,23,41,31.51389444,-87.891675
24,7,2017,2,8,41,32.461275,-85.13593889
23,7,2017,1,16,17,34.12930278,-85.66651667
21,7,2017,6,21,36,34.7302,-87.66780278
21,7,2017,6,16,28,34.30808056,-86.50113611
23,7,2017,1,20,51,32.33888611,-86.15129444
23,7,2017,1,17,4,34.74845556,-87.69888333
24,7,2017,2,12,5,33.927975,-85.65019167
25,7,2017,3,6,26,33.97983333,-86.90722222
26,7,2017,4,10,20,32.82613611,-87.84806111
26,7,2017,4,23,30,33.66183333,-85.82688611
19,8,2017,7,1,55,30.56568056,-88.19438611
25,8,2017,6,15,45,33.13323889,-87.637325
29,8,2017,3,12,48,30.67846111,-88.12719444
29,8,2017,3,16,25,32.07277222,-86.48340278
3,9,2017,1,3,45,32.95902222,-86.67420833
10,9,2017,1,23,35,30.51432222,-88.28148889
12,9,2017,3,19,30,33.152275,-86.76438611
15,9,2017,6,19,35,34.63201944,-86.86796944
20,9,2017,4,13,9,33.62540278,-86.63139444
21,9,2017,5,15,26,33.58172778,-85.94269722
17,8,2017,5,11,0,33.66592222,-87.06693611
24,5,2017,4,14,23,34.72383333,-86.64408056
17,8,2017,5,20,32,31.44265,-87.41614167
19,8,2017,7,18,10,34.15888056,-85.70735833
20,8,2017,1,18,50,33.21282778,-87.48687778
20,8,2017,1,23,40,33.19311389,-87.56291111
20,8,2017,1,19,35,32.33008611,-86.53538889
20,8,2017,1,12,35,32.47024722,-85.093475
20,8,2017,1,99,99,33.45710278,-85.42171667
21,8,2017,2,7,55,34.75856667,-86.47443611
22,8,2017,3,1,35,33.43851389,-87.60865
22,8,2017,3,1,15,34.66037778,-86.95015833
22,8,2017,3,22,10,30.66034444,-88.14931667
24,8,2017,5,0,50,30.59505278,-88.15216667
25,8,2017,6,21,0,31.20889167,-86.62983889
25,8,2017,6,9,10,31.39859444,-85.19175833
25,8,2017,6,22,55,34.97739444,-86.71386944
25,8,2017,6,7,45,34.20181667,-87.85376667
25,8,2017,6,8,25,31.89434167,-88.39345278
25,8,2017,6,3,37,32.38687222,-86.278075
26,8,2017,7,22,45,34.22668611,-87.568675
26,8,2017,7,4,15,30.64670278,-87.81472222
26,8,2017,7,16,23,31.81394444,-85.22467222
